City,Department,Salary,Years_Experience,Performance_Score
Stockholm,IT,50000,5,85
Stockholm,HR,40000,3,90
Göteborg,Finance,45000,4,88
Malmö,Sales,35000,2,80
Malmö,IT,52000,6,92
Göteborg,HR,43000,4,87
Stockholm,Finance,60000,7,93
Lund,Sales,47000,5,82
Uppsala,IT,53000,6,89
Luleå,Finance,49000,8,84
Stockholm,HR,42000,3,86
Göteborg,IT,61000,10,95
Malmö,Sales,37000,2,81
Uppsala,HR,38000,3,79
Lund,Finance,46000,5,91
Malmö,IT,54000,6,94
Luleå,HR,39000,3,78
Stockholm,Finance,63000,11,96
Göteborg,Sales,48000,5,83
Lund,IT,55000,7,88
